# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: C:\Users\innovlab\workspace\EyeSat_CMOS_Image_Sensor\FPGA_Program\de2_cyclone2\altpll0\de2_cyclone2.csv
# Generated on: Tue Jun 07 13:34:10 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
CLK_IN,Output,PIN_F25,5,B5_N0,PIN_F25,,,,
CLOCK_50,Input,PIN_N2,2,B2_N1,PIN_N2,,,,
DRAM_ADDR[11],Output,PIN_V5,1,B1_N1,PIN_V5,,,,
DRAM_ADDR[10],Output,PIN_Y1,1,B1_N1,PIN_Y1,,,,
DRAM_ADDR[9],Output,PIN_W3,1,B1_N1,PIN_W3,,,,
DRAM_ADDR[8],Output,PIN_W4,1,B1_N1,PIN_W4,,,,
DRAM_ADDR[7],Output,PIN_U5,1,B1_N1,PIN_U5,,,,
DRAM_ADDR[6],Output,PIN_U7,1,B1_N1,PIN_U7,,,,
DRAM_ADDR[5],Output,PIN_U6,1,B1_N1,PIN_U6,,,,
DRAM_ADDR[4],Output,PIN_W1,1,B1_N0,PIN_W1,,,,
DRAM_ADDR[3],Output,PIN_W2,1,B1_N0,PIN_W2,,,,
DRAM_ADDR[2],Output,PIN_V3,1,B1_N0,PIN_V3,,,,
DRAM_ADDR[1],Output,PIN_V4,1,B1_N0,PIN_V4,,,,
DRAM_ADDR[0],Output,PIN_T6,1,B1_N0,PIN_T6,,,,
DRAM_BA_0,Output,PIN_AE2,1,B1_N1,PIN_AE2,,,,
DRAM_BA_1,Output,PIN_AE3,1,B1_N1,PIN_AE3,,,,
DRAM_CAS_N,Output,PIN_AB3,1,B1_N1,PIN_AB3,,,,
