# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: C:\Users\innovlab\workspace\EyeSat_CMOS_Image_Sensor\FPGA_Program\de0_cyclone3\pin_assignment.csv
# Generated on: Thu Jun 09 16:36:30 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
CLOCK_50,Input,PIN_G21,6,B6_N1,PIN_G21,,,,,
CMV_CLK_IN,Output,PIN_R12,3,B3_N1,PIN_R12,,,,,
CMV_FRAME_REQ,Output,PIN_T10,3,B3_N0,PIN_T10,,,,,
CMV_LVDS_CLK,Output,PIN_T16,4,B4_N0,PIN_T16,LVDS_E_3R,,,,CMV_LVDS_CLK(n)
CMV_LVDS_CLK(n),Output,PIN_R16,4,B4_N0,PIN_R16,LVDS_E_3R,,,,CMV_LVDS_CLK
CMV_LVDS_OUTCH01,Input,PIN_V15,4,B4_N0,PIN_V15,LVDS,,,,CMV_LVDS_OUTCH01(n)
CMV_LVDS_OUTCH01(n),Input,PIN_W15,4,B4_N0,PIN_W15,LVDS,,,,CMV_LVDS_OUTCH01
CMV_LVDS_OUTCH09,Input,PIN_AA17,4,B4_N1,PIN_AA17,LVDS,,,,CMV_LVDS_OUTCH09(n)
CMV_LVDS_OUTCH09(n),Input,PIN_AB17,4,B4_N1,PIN_AB17,LVDS,,,,CMV_LVDS_OUTCH09
CMV_LVDS_OUTCLK,Input,PIN_AA12,4,B4_N1,PIN_AA12,LVDS,,,,CMV_LVDS_OUTCLK(n)
CMV_LVDS_OUTCLK(n),Input,PIN_AB12,4,B4_N1,PIN_AB12,LVDS,,,,CMV_LVDS_OUTCLK
